seed_1_global_step_53850000.pth,seed_1_global_step_60000000.pth,seed_1_global_step_70000000.pth,seed_1_global_step_80000000.pth,seed_1_global_step_90000000.pth,seed_1_global_step_100000000.pth,seed_1_global_step_110000000.pth,seed_1_global_step_120000000.pth,seed_1_global_step_130000000.pth,seed_1_global_step_140000000.pth,seed_1_global_step_150000000.pth,seed_1_global_step_160000000.pth,seed_1_global_step_170000000.pth,seed_1_global_step_180000000.pth,seed_1_global_step_190000000.pth,seed_1_global_step_199990000.pth
131.0,372.0,281.0,148.0,10.0,387.0,395.0,13.0,380.0,348.0,77.0,12.0,56.0,29.0,334.0,96.0
65.0,366.0,279.0,422.0,33.0,380.0,13.0,12.0,66.0,84.0,19.0,18.0,75.0,15.0,49.0,54.0
141.0,380.0,360.0,404.0,22.0,364.0,160.0,13.0,416.0,24.0,190.0,59.0,71.0,50.0,58.0,147.0
44.0,362.0,405.0,146.0,11.0,90.0,71.0,18.0,147.0,10.0,304.0,43.0,62.0,101.0,258.0,30.0
79.0,395.0,136.0,365.0,14.0,59.0,315.0,5.0,279.0,23.0,34.0,9.0,54.0,52.0,31.0,27.0
91.0,100.0,379.0,400.0,17.0,355.0,427.0,10.0,80.0,137.0,89.0,14.0,15.0,41.0,192.0,262.0
61.0,389.0,417.0,61.0,25.0,333.0,363.0,1.0,104.0,80.0,52.0,32.0,175.0,24.0,205.0,186.0
427.0,407.0,333.0,266.0,41.0,84.0,361.0,9.0,327.0,20.0,261.0,7.0,92.0,291.0,292.0,44.0
56.0,398.0,408.0,445.0,32.0,111.0,48.0,9.0,162.0,40.0,240.0,14.0,60.0,407.0,16.0,32.0
25.0,370.0,437.0,399.0,33.0,11.0,413.0,24.0,412.0,53.0,25.0,17.0,226.0,367.0,340.0,36.0
177.0,408.0,428.0,110.0,21.0,160.0,48.0,18.0,135.0,67.0,24.0,4.0,374.0,66.0,6.0,70.0
393.0,352.0,342.0,409.0,29.0,154.0,187.0,10.0,16.0,29.0,11.0,15.0,114.0,111.0,9.0,33.0
363.0,49.0,79.0,205.0,16.0,100.0,414.0,8.0,164.0,12.0,49.0,10.0,81.0,67.0,428.0,37.0
257.0,363.0,115.0,82.0,32.0,386.0,43.0,13.0,372.0,12.0,245.0,59.0,329.0,29.0,16.0,363.0
100.0,414.0,341.0,353.0,7.0,129.0,315.0,20.0,125.0,15.0,147.0,5.0,20.0,353.0,12.0,367.0
360.0,403.0,45.0,384.0,21.0,320.0,160.0,4.0,343.0,1.0,8.0,13.0,134.0,41.0,11.0,20.0
68.0,412.0,390.0,418.0,21.0,326.0,422.0,14.0,32.0,58.0,342.0,16.0,82.0,115.0,163.0,43.0
396.0,46.0,375.0,401.0,19.0,387.0,62.0,15.0,17.0,1.0,358.0,44.0,33.0,46.0,403.0,46.0
370.0,305.0,424.0,449.0,33.0,97.0,405.0,12.0,67.0,50.0,18.0,10.0,26.0,63.0,88.0,45.0
427.0,57.0,154.0,341.0,342.0,415.0,400.0,7.0,404.0,12.0,19.0,25.0,59.0,305.0,5.0,63.0
